pmid,Intervention,labels,detail
29529858,"['Irinotecan plus cisplatin (IP)', 'Etoposide plus cisplatin (EP)']","['Drug', 'Drug']",{}
29529169,"['SOC (standard-of-care) + AAP (abiraterone acetate with prednisolone)', 'SOC + DocP (docetaxel with prednisolone)']","['Drug', 'Drug']","{'SOC + DocP (docetaxel with prednisolone)': [{'dosage': 'docetaxel (75 mg/m2) was given once every 3 weeks for six cycles, with prednisolone/prednisone (10 mg) daily'}]}"
29526341,"['Therabite ® jaw motion rehabilitation system (Atos Medical)', 'Wooden spatulas']","['Physical', 'Physical']",{}
29526019,"['Sentinel-lymph-node resection', 'systematic axillary-lymph-node dissection', 'SLN biopsy followed by sALND (control arm)']","['Surgical', 'Surgical', 'Surgical']",{}
29523108,"['Direct mailing of a second reminder and a self-sampling kit', 'Mailing of a second reminder', 'self-sampling kit', 'Mailing of a second reminder to attend regular cytology screening']","['Educational', 'Educational', 'None', 'Educational']",{'self-sampling kit': [{'dosage': 'one kit'}]}
29520533,"['Acupuncture (AC), twice weekly manual acupuncture over six weeks', 'Wait-list control (WL)']","['Physical', 'Control']","{'Acupuncture (AC), twice weekly manual acupuncture over six weeks': [{'delivery_method': 'manual acupuncture', 'dosage': 'twice a week for six consecutive weeks', 'treatment_duration': '30 min'}]}"
29511007,"['Sunface mobile app', 'classroom seminar']","['Educational', 'educational']",{}
29508247,"['Ruxolitinib', 'capecitabine', 'Placebo plus capecitabine']","['Drug', 'Drug', 'Drug']",{}
29505522,"['low tidal volume', 'pressure controlled ventilation', 'low tidal volume', 'high tidal volume (VT ≥ 8\u200amL/kg) + PCV', 'high tidal volume (VT ≥ 8\u200amL/kg) + VCV']","['physical', 'surgical', 'physical', 'Physical', 'Physical']",{}
29500065,"['docetaxel', 'cabazitaxel', 'cabazitaxel (20 or 25mg/m2) as second-line chemotherapy (PROSELICA)']","['drug', 'drug', 'Drug']",{}
29497963,"['High intensity (HI) exercise', 'Low-to-moderate intensity (LMI) exercise']","['Physical', 'Physical']","{'High intensity (HI) exercise': [{'exercise_activity_type': 'resistance exercises and endurance interval exercises', 'duration': '12 weeks', 'frequency': 'twice per week', 'supervision': 'trained physiotherapist'}], 'Low-to-moderate intensity (LMI) exercise': [{'exercise_activity_type': 'resistance exercises and endurance interval exercises', 'duration': '12 weeks', 'frequency': 'twice per week', 'supervision': 'trained physiotherapist'}]}"
29497091,"['CDK4/6 inhibitor palbociclib', 'fulvestrant']","['Drug', 'Drug']",{}
29496255,"['oral tivantinib', 'erlotinib', ""single-agent chemotherapy (investigator's choice of pemetrexed, docetaxel, or gemcitabine)""]","['drug', 'drug', 'Drug']",{}
29492753,"['web-based application (app) designed with and without weekly reminders', 'report real-time symptoms and AI use outside of clinic visits', ""built-in alerts to patients' oncology providers""]","['Educational', 'Educational', 'Educational']",{}
29488121,"['paclitaxel', 'capecitabine', 'cisplatin', 'capecitabine']","['drug', 'drug', 'Drug', 'Drug']","{'paclitaxel': [{'dosage': '80 mg/m2'}], 'capecitabine': [{'dosage': '1000 mg/m2'}], 'cisplatin': [{'dosage': '80 mg/m2 for 2 h on day 1 with hydration and standard delayed emesis prophylaxis treatment per cycle'}]}"
29487223,"['carboplatin', 'paclitaxel', 'bevacizumab', 'metformin', 'bevacizumab', 'metformin']","['drug', 'drug', 'drug', 'drug', 'drug', 'drug']","{'metformin': [{'dosage': '1,000 mg twice a day'}]}"
29486797,"['IV BTH1677, 4 mg/kg, weekly', 'IV bevacizumab, 15 mg/kg, once each 3-week cycle [Q3W]', 'IV carboplatin, 6 mg/mL/min Calvert formula area-under-the-curve, Q3W', 'IV paclitaxel, 200 mg/m2, Q3W', 'bevacizumab/carboplatin/paclitaxel as above']","['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","{'IV BTH1677, 4 mg/kg, weekly': [{'dosage': '4 mg/kg over 2 to 4 h (depending on patient weight and total dose administered)'}], 'IV bevacizumab, 15 mg/kg, once each 3-week cycle [Q3W]': [{'dosage': '15 mg/kg over 90 min'}], 'IV carboplatin, 6 mg/mL/min Calvert formula area-under-the-curve, Q3W': [{'dosage': 'AUC of 6 mg/mL•min over 30 min'}], 'IV paclitaxel, 200 mg/m2, Q3W': [{'dosage': '200 mg/m2 over 3 h'}]}"
29485322,"['Computed tomographic (CT) colonography screening', 'Colonoscopy screening']","['Surgical', 'Surgical']",{}
29483583,"['Docetaxel (T) and epirubicin (E) as neoadjuvant chemotherapy', 'Lobaplatin (L) added to the TE regimen']","['Drug', 'Drug']","{'Docetaxel (T) and epirubicin (E) as neoadjuvant chemotherapy': [{'dosage': '75 mg m−2 docetaxel, 80 mg m−2 epirubicin'}], 'Lobaplatin (L) added to the TE regimen': [{'dosage': '30 mg m−2 l'}]}"
29482642,"['adjuvant chemotherapy containing either docetaxel or vinorelbine', 'trastuzumab for HER2-positive patients', 'no trastuzumab for HER2-positive patients']","['Drug', 'Drug', 'Drug']",{'adjuvant chemotherapy containing either docetaxel or vinorelbine': [{'dosage': 'three cycles'}]}
29482525,['Internet-based grief therapy'],['Psychological'],"{'Internet-based grief therapy': [{'delivery_method': 'writing tasks', 'goal': 'weaken feelings such as fear and guilt through reprocessing and therefore reduce avoidant behavior'}]}"
29480075,"['Dietary data collection through personal interviews', 'Principal component analysis (PCA) to identify dietary groups']","['Educational', 'Educational']",{}
29479988,"['validated questionnaire on risk perception', 'automatic blood pressure monitor', 'weighing scale', 'measuring tape']","['Educational', 'Physical', 'Physical', 'Physical']",{}
29476019,"['TGFβ blocking antibody fresolimumab', 'Two doses: 1 mg/kg and 10 mg/kg', 'Every 3 weeks for five cycles', 'Focal radiotherapy']","['Drug', 'Drug', 'Control', 'Surgical']",{}
29474441,['Expressive Writing Intervention'],['psychological'],{'Expressive Writing Intervention': [{'delivery_method': 'home-based writing instructions'}]}
29471478,['Internet-delivered CBT-I (iCBT-I)'],['Psychological'],{'Internet-delivered CBT-I (iCBT-I)': [{'delivery_method': 'online'}]}
29469951,['Lorazepam versus placebo as an adjuvant to haloperidol'],['Drug'],{}
29468454,"['Anastrozole', 'UFT', 'Anastrozole alone']","['Drug', 'Drug', 'Drug']",{}
29467138,"['multicomponent intervention (provider education, patient decision aid and navigation support)', 'usual care (consultation and referral, if requested)']","['Educational', 'Control']",{}
29466352,['Power Over Pain-Coaching (POP-C)'],['Educational'],"{'Power Over Pain-Coaching (POP-C)': [{'delivery_method': '-communication skills, role playing advocacy training, overcoming fear and mistrust, transcultural communication.'}]}"
29464877,"['patient navigation program', 'usual care']","['Educational', 'Control']",{}
29458237,"['irinotecan plus capecitabine', 'capecitabine alone']","['Drug', 'Drug']",{}
29454311,"['Mepitel® Film', 'standard care']","['Drug', 'Control']",{}
29453232,"['DHA (1,000 mg by mouth twice daily)', 'placebo']","['Drug', 'Control']","{'DHA (1,000 mg by mouth twice daily)': [{'dosage': '1,000 mg'}]}"
29451145,"['ERAS program', 'Standard care (SC)']","['Educational', 'Control']",{}
29450494,"['Oncotype Dx recurrence score', 'PAM50-based Prosigna risk of recurrence (ROR)', 'Breast Cancer Index (BCI)', 'EndoPredict (EPclin)', 'Clinical Treatment Score', '4-marker immunohistochemical score', '5-year treatment with anastrozole vs tamoxifen']","['Drug', 'Drug', 'Drug', 'Drug', 'None', 'None', 'Drug']",{}
29449189,"['Radiotherapy alone', 'Chemoradiotherapy']","['Surgical', 'Drug']",{}
29445928,"['lapatinib and trastuzumab (6 weeks)', 'lapatinib and trastuzumab plus weekly paclitaxel (12 weeks)', 'anti-HER2 therapy', 'endocrine therapy']","['Drug', 'Drug', 'drug', 'Drug']",{}
29444771,['consumption of ultra-processed food'],['I_Other'],{}
29439691,"['Option Grid', 'Picture Option Grid', 'Usual care']","['Educational', 'Educational', 'Control']",{}
29438373,"['anlotinib', 'placebo']","['drug', 'Control']",{'anlotinib': [{'dosage': '12 mg'}]}
29438092,"['parsatuzumab', 'bevacizumab', 'carboplatin/paclitaxel', 'placebo']","['drug', 'drug', 'drug', 'Control']",{}
29426956,"['Brief advice based on risk communication by a nurse counselor', 'Standard care']","['Educational', 'Control']",{}
29426869,"['Open-label placebo (OLP)', 'Treatment as usual (TAU)', 'placebo pills']","['I_Other', 'Control', 'drug']",{'placebo pills': [{'dosage': '21 days'}]}
29425304,"['Adjuvant zoledronic acid', 'Pretreatment blood samples']","['Drug', 'Control']",{}
29417850,"['Ginger root powder', 'Placebo']","['Drug', 'Control']",{}
29415668,"['Propofol-based anesthesia group', 'Sevoflurane-based anesthesia group']","['Drug', 'Surgical']",{}
29402234,"['GP consultation', 'shared decision making', 'minimum of three contacts with the HON', 'Additional structured follow-up compared to care as usual']","['educational', 'educational', 'educational', 'Control']",{}
29397659,"['S-1 plus docetaxel (DS)', 'S-1 plus cisplatin (SP)']","['Drug', 'Drug']",{}
29391383,"['12-week intervention arm', 'One face-to-face counselling session', 'Four telephone consultations', 'Web-based support', 'Personalised diet and physical activity programme', 'Behavioural change techniques']","['None', 'Psychological', 'Educational', 'Educational', 'Physical', 'psychological']","{'One face-to-face counselling session': [{'delivery_method': 'interactive'}], 'Personalised diet and physical activity programme': [{'exercise_activity_type': 'increasing activity to 225–300 min per week', 'dosage': '600 kcal deficit dietary intake as recommended by the Scottish Intercollegiate Guidelines Network (SIGN)'}], 'Behavioural change techniques': [{'delivery_method': 'web-based support programme'}]}"
29388275,"['Usual-care control', '150 min·wk -1 of aerobic exercise (low-dose)', '300 min·wk -1 of aerobic exercise (high-dose)']","['Control', 'Physical', 'Physical']",{}
29386173,"['Web-based tailored CBT intervention (CancerCope)', 'static patient education website']","['Psychological', 'Educational']","{'Web-based tailored CBT intervention (CancerCope)': [{'delivery_method': 'web-based', 'duration': '6-week period with ongoing access for 12 months', 'completion': 'participant manually submits cores as complete'}]}"
29381690,"['pazopanib maintenance', 'placebo']","['Drug', 'Control']",{'pazopanib maintenance': [{'dosage': '800 mg'}]}
29378625,"['Postoperative radiotherapy', 'Methods: two-field irradiation, four-field box irradiation, intensity-modulated radiotherapy (IMRT)', '66 patients received IMRT']","['Surgical', 'Surgical', 'Surgical']",{}
29374658,"['image-read', 'liquid-based cytology (LBC)', 'HPV screening', 'partial genotyping', 'referral of HPV16/18-positive women to colposcopy', 'LBC', 'dual-stained (p16 INK4a and Ki-67) cytology testing']","['None', 'Control', 'None', 'None', 'Surgical', 'I_Other', 'I_Other']","{'HPV screening': [{'delivery_method': 'partial genotyping'}, {'surgical_technique': 'LBC testing', 'timeframe': '2.5 years'}]}"
29370781,"['panitumumab in combination with dose-adjusted FOLFOX', '5-fluorouracil monotherapy']","['Drug', 'Drug']",{'panitumumab in combination with dose-adjusted FOLFOX': [{'dosage': '6 mg/kg iv over 60 min'}]}
29370583,['first-line chemotherapy'],['Drug'],{'first-line chemotherapy': [{'dosage': 'tailored doses depending on treatment side effects'}]}
29369731,"['therapist-guided Web-based intervention', 'wait-list (control)', 'Web-based stress management program STREAM']","['Psychological', 'Control', 'Psychological']","{'therapist-guided Web-based intervention': [{'delivery_method': 'Web-based program via LimeSurvey', 'exercise_activity_type': 'relaxation and guided-imagery exercises'}], 'Web-based stress management program STREAM': [{'delivery_method': 'Web-based', 'exercise_activity_type': 'cognitive behavioral– and mindfulness-based stress reduction techniques'}]}"
29366911,"['telephone symptom management (TSM) intervention', 'mindfulness exercise', 'guided imagery', 'pursed lips breathing', 'cognitive restructuring', 'problem solving', 'emotion-focused coping', 'assertive communication']","['Educational', 'psychological', 'psychological', 'physical', 'psychological', 'psychological', 'psychological', 'psychological']",{}
29365058,"['usual monitoring alone', 'adding routine 6-monthly 18FDG-PET/CT to usual monitoring strategy']","['Control', 'Drug']","{'adding routine 6-monthly 18FDG-PET/CT to usual monitoring strategy': [{'dosage': 'routine 6-monthly, 4–5 MBq/kg'}]}"
29362371,['Digital droplet PCR'],['Drug'],{}
29360661,"['palbociclib plus letrozole', 'placebo plus letrozole']","['Drug', 'Drug']","{'palbociclib plus letrozole': [{'dosage': 'palbociclib 125 mg orally once daily'}], 'placebo plus letrozole': [{'dosage': 'letrozole 2.5 mg orally once daily continuously'}]}"
29355939,"['Dietary Inflammatory Index (DII®)', 'Energy-adjusted DII (E-DII) scores based on food and supplement intake']","['Educational', 'None']",{}
29355046,['8-week hatha yoga program'],['Physical'],"{'8-week hatha yoga program': [{'exercise_activity_type': 'hatha yoga', 'duration': '30 minutes to 90 minutes based on physical and mental endurance improvement'}]}"
29352306,"['anti-EGFR to gemcitabine and oxaliplatin (GEMOX) chemotherapy', 'panitumumab plus GEMOX (P-GEMOX)']","['Drug', 'Drug']",{}
29350481,"['Emotion regulation strategy conditions: distraction, reappraisal, or reassurance', 'Experimental pain procedure (cold pressor task [CPT])']","['Psychological', 'Physical']",{}
29350459,"['parent-focused six-session intervention, NOURISH-T', 'enhanced usual care (EUC)']","['Educational', 'Control']",{}
29349712,"['concurrent resistance and high-intensity interval training (RT-HIIT)', 'concurrent moderate-intensity aerobic and high-intensity interval training (AT-HIIT)', 'usual care (UC)']","['Physical', 'Physical', 'Control']","{'concurrent resistance and high-intensity interval training (RT-HIIT)': [{'exercise_activity_type': 'resistance and high-intensity interval exercise'}], 'concurrent moderate-intensity aerobic and high-intensity interval training (AT-HIIT)': [{'exercise_activity_type': 'moderate-intensity continuous aerobic exercise followed by 3 × 3 min bouts of HIIT'}]}"
29342248,"['palbociclib plus endocrine therapy (ET)', 'ET (fulvestrant or letrozole, respectively) plus palbociclib or placebo']","['Drug', 'Drug']",{}
29338073,"['Radiotherapy (RT)', 'Androgen deprivation therapy (ADT) for 6 months', 'Intermittent course of ADT with TTR approaching 18 months']","['Surgical', 'Drug', 'Drug']","{'Androgen deprivation therapy (ADT) for 6 months': [{'dosage': '6 months'}], 'Intermittent course of ADT with TTR approaching 18 months': [{'dosage': 'approaching 18 months'}]}"
29331381,"['androgen deprivation therapy (ADT)', 'docetaxel (D)', 'abiraterone acetate (AA)', 'enzalutamide (E)']","['Drug', 'Drug', 'Drug', 'Drug']",{}
29327085,"['Six telephone sessions of acceptance and commitment therapy (ACT)', 'Six telephone sessions of education/support']","['Psychological', 'Educational']","{'Six telephone sessions of acceptance and commitment therapy (ACT)': [{'delivery_method': 'telephone sessions', 'duration': '50 to 60-minute', 'therapist': 'master’s level social worker with experience in ACT', 'supervision': 'weekly by two psychologists', 'fidelity_rating': '99%'}]}"
29323617,"['Early palliative care intervention integrated with oncology care', 'Usual oncology care alone']","['Psychological', 'Control']",{'Early palliative care intervention integrated with oncology care': [{'delivery_method': 'outpatient palliative care team'}]}
29321047,"['MAG-EPA supplementation', 'placebo']","['Drug', 'Control']",{'MAG-EPA supplementation': [{'dosage': 'capsules'}]}
29320335,"['Training for physicians guided by Social Cognitive Theory', 'Communication guide', 'in-office training sessions']","['Educational', 'Educational', 'educational']",{}
29318656,"['Finasteride (an androgen bioactivation inhibitor)', 'Placebo']","['Drug', 'Control']",{}
29310613,['telephone outcall program'],['Educational'],{}
29310611,['Oxaliplatin + S-1 with an oxaliplatin dose of 130 mg/m2'],['Drug'],{}
29305129,"['home-based vegetable gardening intervention', 'wait-list control arm']","['Physical', 'Control']",{'home-based vegetable gardening intervention': [{'exercise_activity_type': 'garden establishment and maintenance using raised beds or container gardens'}]}
29302858,"['Eribulin mesilate 1.4 mg/m2 intravenously on days 1 and 8', 'Twice-daily oral capecitabine 1.25 g/m2 on days 1-14 (21-day cycles)']","['Drug', 'Drug']",{}
29299957,['Cancer Home-Life Intervention'],['Physical'],"{'Cancer Home-Life Intervention': [{'exercise_activity_type': 'ADL (Activities of Daily Living), leisure, social activities'}]}"
29298678,"['computerized cognitive training', 'physical training (exergaming)', 'waiting control group']","['Psychological', 'Physical', 'Control']","{'computerized cognitive training': [{'delivery_method': ""adaptive difficulty level adjusted based on user's performance, supervised by training aides and trained coaches, weekly supervision via phone call""}], 'physical training (exergaming)': [{'exercise_activity_type': 'three training sessions per week for 8 weeks, each session takes about 45 min', 'delivery_method': 'at home using the XBOX Kinect (Microsoft, Redmond, WA)'}]}"
29293874,"['mFOLFOX6 or CapeOX plus bevacizumab (control group)', 'S-1', 'irinotecan', 'bevacizumab']","['Control', 'Drug', 'Drug', 'Drug']","{'S-1': [{'dosage': '40 mg/m2 (taken orally twice daily, from after dinner on day 1 to after breakfast on day 15), followed by a 7-day or 14-day rest depending on the regimen'}], 'irinotecan': [{'dosage': '150 mg/m2 (intravenous infusion) for S-1 and irinotecan plus bevacizumab regimen, 100 mg/m2 (intravenous infusion) for the 4-week S-1 and irinotecan plus bevacizumab regimen'}], 'bevacizumab': [{'dosage': '7.5 mg/kg (intravenous infusion on day 1 of each 3-week cycle) for S-1 and irinotecan plus bevacizumab regimen, 5 mg/kg (intravenous infusion on day 1 and day 15 of each 4-week cycle) for the 4-week S-1 and irinotecan plus bevacizumab regimen'}], 'mFOLFOX6 or CapeOX plus bevacizumab (control group)': [{'dosage': {'bevacizumab': '5 mg/kg (intravenous infusion on day 1 of each 2-week cycle) for mFOLFOX6, 7.5 mg/kg (intravenous infusion on day 1 of each 3-week cycle) for CapeOX', 'oxaliplatin': '85 mg/m2 (intravenous infusion) for mFOLFOX6, 130 mg/m2 (intravenous infusion) for CapeOX', 'l-leucovorin': '200 mg/m2 (intravenous infusion) for mFOLFOX6', '5-FU': '400 mg/m2 (intravenous bolus), 2400 mg/m2 (continuous intravenous infusion) for mFOLFOX6; Capecitabine taken orally twice daily, from after dinner on day 1 to after breakfast on day 15, followed by a 7-day rest'}}]}"
29293386,"['passive scattering proton therapy (PSPT)', 'intensity-modulated (photon) radiotherapy (IMRT)']","['Surgical', 'Surgical']",{}
29288137,"['Prostate-specific antigen (PSA) testing', 'Treatment for localized prostate cancer (PCa)']","['Educational', 'Surgical']",{}
29282534,"['Home-based computerized cognitive training (CCT) program', 'Usual care']","['Psychological', 'Control']",{'Home-based computerized cognitive training (CCT) program': [{'delivery_method': 'computerized'}]}
29282360,"['PSA independent, study-mandated prostate biopsies']",['Control'],{}
29280043,"['anti-HER2 therapy (lapatinib, trastuzumab or their combination)', 'weekly paclitaxel']","['Drug', 'Drug']",{}
29274618,['trifluridine/tipiracil (TAS-102)'],['Drug'],{}
29265672,"['Hand in Hand (HiH) intervention in addition to usual care', 'usual care only']","['Educational', 'Control']",{}
29254887,"['oral AZD8931 (40 mg twice a day)', 'placebo']","['Drug', 'Control']",{}
29254399,"['PSA screening or control (1:1)', 'biennial PSA testing up to median age of 69 years', 'prostate biopsy recommended for men with PSA ≥2.5ng/ml']","['Control', 'Drug', 'Surgical']",{}
29246705,"['standard websites (National Cancer Institute, American Cancer Society, Breastcancer.org)', 'web-based decision aid (Health Dialog DA)']","['Educational', 'Educational']",{}
29243165,"['counseling/group discussions', 'supervised exercise tapered to unsupervised exercise']","['Educational', 'Physical']","{'counseling/group discussions': [{'delivery_method': 'face-to-face counseling sessions with an exercise specialist'}], 'supervised exercise tapered to unsupervised exercise': [{'exercise_activity_type': 'moderate-intensity exercise', 'dosage': '12 supervised exercise sessions during the first 6 weeks, followed by home-based exercise in concluding 6 weeks with a minimum of 150 minutes per week'}]}"
29242281,['osimertinib 80 mg once daily'],['Drug'],{}
29235564,['trimodality with or without induction chemotherapy (IC)'],['Surgical'],{}
29233548,"['Actual weight-based (AWB) chemotherapy dosing', 'Body surface area (BSA)-based adjuvant chemotherapy dosing']","['Drug', 'Drug']",{}
29230665,"['extended letrozole (2.5 or 5 years)', 'adjuvant endocrine therapy (tamoxifen, AI, sequential strategy)']","['Drug', 'Drug']",{'extended letrozole (2.5 or 5 years)': [{'dosage': '2.5 or 5 years'}]}
29230548,"['docetaxel/cisplatin/5-fluorouracil (TPF)', 'conventional radiotherapy', 'cisplatin', 'accelerated radiotherapy with cisplatin weekly 40 mg/m2 (cis40 + ART)']","['Drug', 'surgical', 'drug', 'Drug']",{}
29228087,"['ramucirumab plus FOLFIRI', 'placebo plus FOLFIRI', 'VEGFR-2 blockade']","['Drug', 'Drug', 'Drug']",{'ramucirumab plus FOLFIRI': [{'dosage': '8 mg/kg'}]}
29218623,"['Preoperative induction chemotherapy (IC)', 'Chemoradiation and surgery with or without IC']","['Drug', 'Surgical']",{}
29217088,"['induction cisplatin and docetaxel followed by surgery', '12 months of adjuvant erlotinib']","['Surgical', 'Drug']",{'12 months of adjuvant erlotinib': [{'dosage': '150 mg orally daily'}]}
29211295,"['combined 5-fluorouracil, leucovorin, and oxaliplatin (FOLFOX) plus bevacizumab', 'irinotecan and oxaliplatin (IROX) plus bevacizumab']","['Drug', 'Drug']","{'combined 5-fluorouracil, leucovorin, and oxaliplatin (FOLFOX) plus bevacizumab': [{'dosage': 'oxaliplatin 85 mg/m2 given with leucovorin 400 mg/m2/120 min IV, then 5-FU bolus 400 mg/m2 and 5-FU infusion 2400 mg/m2/46 hr', 'bevacizumab': '5 mg/kg was given IV over 30–90 min'}], 'irinotecan and oxaliplatin (IROX) plus bevacizumab': [{'dosage': 'oxaliplatin 65 mg/m2/120 min IV, then irinotecan 120 mg/m2/90 IV'}]}"
29205286,"['daily oral anamorelin (100mg)', 'placebo']","['Drug', 'Control']",{'daily oral anamorelin (100mg)': [{'dosage': '100 mg'}]}
29197067,"['high-risk HPV testing via self-collection', 'community health campaigns (CHCs)', 'government health facilities']","['Drug:', 'Educational', 'I_Other']",{}
29196963,"['toremifene (TOR) 40 mg/day', 'letrozole (LET) 2.5 mg/day']","['Drug', 'Drug']","{'toremifene (TOR) 40 mg/day': [{'dosage': '40 mg/day'}], 'letrozole (LET) 2.5 mg/day': [{'dosage': '2.5 mg/day'}]}"
29190319,"['pelvic radiotherapy (RT) with or without concurrent and adjuvant chemotherapy', 'cisplatin', 'carboplatin', 'paclitaxel']","['Surgical', 'drug', 'drug', 'drug']",{}
29190004,"['Tailored dose-dense epirubicin and cyclophosphamide (EC) followed by docetaxel (T)', 'Same regimen with fixed doses', 'TAC regimen']","['Drug', 'Drug', 'Drug']",{}
29178024,"['afatinib', 'chemotherapy']","['Drug', 'Drug']",{'afatinib': [{'dosage': '40 mg'}]}
29168881,"['Early closure of a temporary ileostomy (at 8-13 days)', 'Late closure (at more than 12 weeks)']","['Surgical', 'Surgical']",{}
29168064,"['16-week aerobic and resistance exercise (EX) intervention', 'delayed intervention control (CON)']","['Physical', 'Control']","{'16-week aerobic and resistance exercise (EX) intervention': [{'exercise_activity_type': 'progressive, combined aerobic and resistance', 'delivery_method': 'supervised one-on-one sessions', 'duration': '80 minutes (Days 1 and 3), 50 minutes (Day 2)'}]}"
29164421,"['Ribociclib', 'letrozole', 'Placebo plus letrozole']","['Drug', 'Drug', 'Drug']",{}
29147854,"['Prophylactic naproxen', 'Prophylactic loratadine', 'No prophylactic treatment']","['Drug', 'Drug', 'Control']",{}
29141848,"['radical prostatectomy for prostate cancer', 'IHC (Immunohistochemistry) to evaluate MYC protein expression', 'case-control study']","['Surgical', 'I_Other', 'control']",{}
29139007,"['resistance and high-intensity interval training (RT-HIIT)', 'moderate-intensity aerobic and high-intensity interval training (AT-HIIT)', 'usual care (UC)']","['Physical', 'Physical', 'Control']","{'resistance and high-intensity interval training (RT-HIIT)': [{'exercise_activity_type': 'RT–HIIT'}], 'moderate-intensity aerobic and high-intensity interval training (AT-HIIT)': [{'exercise_activity_type': 'AT–HIIT'}]}"
29136683,"['Meaning-Centered Group Psychotherapy (MCGP)', 'supportive group psychotherapy']","['Psychological', 'Psychological']",{}
29136682,"['Care for the Cancer Caregiver (CCC) Workshop', 'Meaning-Centered Psychotherapy adapted for delivery in a self-administered web-based program']","['Educational', 'Psychological']",{'Meaning-Centered Psychotherapy adapted for delivery in a self-administered web-based program': [{'delivery_method': 'web-based program'}]}
29136387,"['duloxetine', 'placebo']","['Drug', 'Control']",{}
29129894,"['Personalized daughter-directed reminder leaflet for cervical cancer screening', 'reminder leaflet', 'informational leaflet for the mother']","['Educational', 'educational', 'educational']",{}
29128897,['home-based speed of processing (SOP) training'],['Psychological'],{'home-based speed of processing (SOP) training': [{'exercise_activity_type': 'information-processing tasks presented via computer'}]}
29126161,"['anastrozole', 'placebo', 'tamoxifen']","['Drug', 'Control', 'Drug']","{'anastrozole': [{'dosage': '1 mg daily'}], 'tamoxifen': [{'dosage': '20 mg/day oral'}]}"
29113986,"['MuscadinePlus (MPX), a commercial preparation of pulverized muscadine grape skin', '500 mg MPX (low), or 4,000 mg MPX (high) daily']","['Drug', 'Drug']",{}
29106448,"['enoxaparin at a supraprophylactic dose (1mg/kg)', 'standard treatment']","['Drug', 'Control']",{'enoxaparin at a supraprophylactic dose (1mg/kg)': [{'dosage': '1 mg/kg'}]}
29105802,"['androgen deprivation combined with cixutumumab', 'androgen deprivation alone']","['Drug', 'Drug']",{}
29101711,"['15-week group-based weight loss intervention', 'caloric restriction', 'physical activity', 'wait-list control intervention']","['Physical', 'Physical', 'Physical', 'Control']","{'physical activity': [{'exercise_activity_type': 'Moderate-intensity aerobic physical activity', 'dosage': '150–200 minutes per week'}]}"
29094178,"['tegafur/uracil (UFT) and Polysaccharide-K (PSK)', 'surgery alone']","['Drug', 'Surgical']","{'tegafur/uracil (UFT) and Polysaccharide-K (PSK)': [{'dosage': {'UFT': '400 mg/m2/day', 'PSK': '3 g/day'}}]}"
29084828,['Bevacizumab-containing chemotherapy'],['Drug'],{}
29080924,['Panitumumab as part of the first-line treatment'],['Drug'],{}
29080920,"['NEPA treatment', 'Palonosetron (comparator)']","['Physical', 'Drug']",{}
29063390,"['leuprorelin acetate 3-month depot', 'TAP-144-SR (3M)', 'tamoxifen for 5 years']","['Drug', 'Drug', 'Drug']","{'leuprorelin acetate 3-month depot': [{'dosage': '11.25 mg'}, {'dosage': 'TAP-144-SR (3M)'}], 'tamoxifen for 5 years': [{'dosage': '20 mg daily'}, {'dosage': 'tamoxifen'}]}"
29063313,['Avelumab'],['Drug'],{}
29061540,"['digital rectal examination', 'prostate specific antigen screening']","['Surgical', 'Educational']",{'digital rectal examination': [{'surgical_technique': 'annual DRE'}]}
29058175,"['ribociclib (600 mg/day; 3-weeks-on/1-week-off) plus letrozole (2.5 mg/day)', 'placebo plus letrozole']","['Drug', 'Drug']","{'ribociclib (600 mg/day; 3-weeks-on/1-week-off) plus letrozole (2.5 mg/day)': [{'dosage': '600 mg/day', 'schedule': '3-weeks-on/1-week-off in 28-day cycles'}], 'placebo plus letrozole': [{'dosage': '2.5 mg/day', 'schedule': 'continuous schedule'}]}"
29058097,"['Chemotherapy with or without bevacizumab', 'Cisplatin 80 mg/m2 for six cycles', 'Capecitabine', '5-fluorouracil']","['Drug', 'Drug', 'Drug', 'Drug']","{'Cisplatin 80 mg/m2 for six cycles': [{'dosage': '80 mg/m2'}], 'Capecitabine': [{'dosage': '1000 mg/m2 twice daily on days 1–14 every 3 weeks'}], '5-fluorouracil': [{'dosage': '800 mg/m2/day as a continuous intravenous infusion on days 1–5 every 3 weeks'}]}"
29053185,"['2 adjuvant protocols', 'curative resection', 'adjuvant chemoradiation']","['I_Other', 'Surgical', 'Drug']",{}
29045659,"['Bevacizumab', 'front line chemotherapy (CT)', ""LV5FU2, FOLFOX, and FOLFIRI regimens prescribed according to investigator's choice""]","['drug', 'control', 'Drug']",{}
29044466,"['weekly Swedish massage therapy (SMT)', 'light touch (LT)', 'waitlist control (WLC)']","['Physical', 'Physical', 'Control']",{}
29043567,"['first-line S-1', 'taxane therapies']","['Drug', 'Drug']","{'first-line S-1': [{'dosage': '80, 100, or 120 mg/day twice daily'}], 'taxane therapies': [{'dosage': 'docetaxel 60–75 mg/m2 at intervals of 3–4 weeks; paclitaxel 80–100 mg/m2 weekly for 3 of 4 weeks; or paclitaxel 175 mg/m2 at intervals of 3–4 weeks'}]}"
