,pmid,outcome,labels,full_text_values
221,29880436,"['Primary end point: overall survival (OS)', 'Secondary end point: progression-free survival']","['Mortality', 'Clinical']","[['25.2 months', '19.5 vs. 24.2 months', 'P = .231 (univariate), P = .072 (multivariate)', 'P = .050', 'P = .243', 'worse OS compared to the FOLFIRI + cetuximab arm'], ['10.0 months', '19.5 vs. 24.2 months', 'P = .428']]"
222,29880065,"['emotional awareness', 'emotional processing']","['Life impact', 'Life impact']","[['peak EXP was significantly associated with emotional awareness scores in the first (r = .25, p = .006) and sixth (r = .24, p = .02) session in SC', 'in all sessions in CCI (rs = .29 - .31, ps < .002)', ""{'marital status (SC)': '-2.71', 'baseline negative emotional expression (SC)': '.24', 'cancer-specific distress (CCI)': '.25'}"", 'women who reported greater negative emotional expressivity at baseline (? = .19) had greater emotional awareness scores (ps < .05) in the sixth session', 'women who were unmarried (? = ?.25) had greater emotional awareness scores (ps < .05) in the sixth session', 'women who reported greater cancer-specific distress at baseline had greater emotional awareness scores (? = .26, p < .01)'], []]"
223,29878040,"['Progression-free survival (PFS)', 'Overall response rate (ORR)', 'Overall survival (OS)', 'Percentage of patients initiating cycle 6 with doublet therapy', 'Safety']","['Mortality', 'Clinical', 'Mortality', 'Clinical', 'Adverse Event']","[['median 8.3 months versus 5.5 months; HR, 0.59 [95% CI, 0.38�0.92]; P = 0.02'], ['73% versus 39% or 44%', ""{'nab-P/C': '69%', 'nab-P/G': '41%', 'G/C': '35%', 'DFI of >1 year, nab-P/C': '75%', 'DFI of >1 year, nab-P/G': '37%', 'DFI of >1 year, G/C': '47%'}""], ['median 16.8 versus 12.1 months; HR, 0.73 [95% CI, 0.47�1.13]; P = 0.16'], [], ['-', 'At least 1 grade ?3 adverse event was reported in 80%, 77%, and 84% of patients in the nab-P/C, nab-P/G, and G/C groups, respectively', 'rank-sum values of the nab-P/C and nab-P/G arms were 5 and 2, respectively']]"
224,29872267,"['overall response rate', 'progression-free survival', 'overall survival', 'safety', 'grade 3/4 neutropenia', 'leukopenia', 'fatigue', 'peripheral neuropathy', 'thrombocytopenia', 'anemia']","['Clinical', 'Mortality', 'Mortality', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Clinical', 'Adverse Event', 'Adverse Event', 'Clinical']","[[], [], [], [], ['50% vs 63%'], ['29% vs 37%'], ['3% vs 13%'], ['3% vs 13%'], ['21% vs 10%'], ['21% vs 7%']]"
225,29864437,"['Radical therapy conversion rates', 'Cancer progression rates overall and by grade', 'End of study biopsy results (negative throughout the prostate)', 'Gleason 7 or higher cancer']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['7% vs 32% at 2 years', '15% vs 44% at 3 years', '24% vs 53% at 4 years'], ['61% of conversions in VTP cohort were due to increase in grade to GG 2 or higher', '49% of conversions in AS cohort were due to increase in grade to GG 2 or higher', '25% after VTP versus 65% in the AS cohort', '10% high-grade cancer (GG >1) after VTP versus 34% in the AS cohort'], ['50% of the VTP cohort versus 14% of the AS cohort', '92% in the apex', '90% in the mid-gland', '84% in the base'], []]"
226,29863451,"['8-year disease-free survival rate', '8-year overall survival rate', '5-year rates of recurrence of breast cancer', 'Distant recurrence', 'Grade 3 or higher adverse events']","['Mortality', 'Mortality', 'Clinical', 'Adverse Event', 'Adverse Event']","[['83.2% for tamoxifen plus ovarian suppression', '78.9% for tamoxifen alone', '71.9%', '73.9%', '83.1%', '80.0%', '82.1%', '84.5%', '86.8% among patients assigned to receive exemestane plus ovarian suppression', '82.8% among those assigned to receive tamoxifen plus ovarian suppression'], ['93.4%', '93.3%'], [], ['53.9% of first events involved distant sites', '10.0%', '26', '91.8% among patients assigned to receive exemestane plus ovarian suppression', '89.7% among those assigned to receive tamoxifen plus ovarian suppression'], ['24.6% of the tamoxifen group', '31.0% of the combined tamoxifen�ovarian suppression group', '32.3% of the combined exemestane�ovarian suppression group']]"
227,29860917,"['invasive disease-free survival', 'freedom from invasive disease recurrence, second primary cancer, or death', 'freedom from disease recurrence at a distant site', 'freedom from disease recurrence at a distant or local-regional site', 'overall survival']","['Clinical', 'Mortality', 'Clinical', 'Clinical', 'Mortality']","[['90 months', '836 events', 'hazard ratio for invasive disease recurrence, second primary cancer, or death [endocrine vs. chemoendocrine therapy], 1.08; 95% confidence interval [CI], 0.94 to 1.24; P = 0.26', '83.3% in endocrine-therapy group', '84.3% in chemoendocrine-therapy group', 'P = 0.03'], [], [], [], ['96 months', 'hazard ratio for death, 0.99; P = 0.89', '93.9% in endocrine-therapy group', '93.8% in chemoendocrine-therapy group']]"
228,29855695,"['Overall survival (OS) rates', 'Recurrence-free survival rates', 'CD8 + /CD4 + T-cell ratio in regional lymph nodes']","['Mortality', 'Mortality', 'Clinical']","[['0.098 (0.011�0.856)', '0.474 (0.248�0.907)', '0.479 (0.239�0.959)', '0.399 (0.194�0.822)', '0.483 (0.245�0.951)'], [""{'Group A: 2-year': '70.0% (95% CI 55.3�80.7)', 'Group A: 5-year': '57.9% (43.1�70.2)', 'Group A: 7-year': '47.5% (29.2�63.8)', 'Group B: 2-year': '43.1% (29.4�56.1)', 'Group B: 5-year': '31.4% (19.3�44.2)', 'Group B: 7-year': '28.5% (16.7�41.5)'}"", ""{'Statistical significance': 'yes', 'Test used': 'log-rank test', 'P-value': '0.0044'}"", '0.058 (0.007�0.520)', '0.216 (0.059�0.791)', '0.495 (0.269�0.909)', '0.446 (0.235�0.845)', '0.507 (0.271�0.948)'], ['p = 0.013']]"
229,29855611,"['psychological distress (primary endpoint)', 'anxiety, depression and concerns about radiotherapy (secondary endpoints)', 'knowledge of radiotherapy and preparedness (secondary endpoints)', 'patient health system usage and costs']","['Life impact', 'Life impact', 'Life impact', 'Resource use']","[['significantly lower HADs-T at F2 (p = 0.01)', 'significantly lower levels of anxiety at F2 (p = 0.003) and F3 (p = 0.048)', '1.3% (n = 2) of intervention participants showed reliable increases in HADs-T from baseline to treatment completion, whereas 7.0% (n = 13) of the control group became reliably more distressed at treatment completion (p = .046)', 'prevention effect', 'significantly lower scores on the procedural concerns subscale of the Cancer Treatment Scale at F1 (p < 0.001) and F2 (p < 0.001), but not at F3 (p = 0.13)'], ['no significant differences for depression at any follow-up timepoints (p > 0.05)', 'None of the intervention participants showed reliable increases in anxiety from baseline to treatment commencement, whereas 3.6% (n = 7) of the control group became reliably more anxious at treatment commencement (p = .031)', 'Only 0.7% (n = 1) of the intervention group showed a reliable increase in anxiety from baseline to treatment completion; whereas 5.4% (n = 10) of the control group became reliably more anxious at treatment completion, however the between-group difference was not significant (p = .057)', 'no significant difference (p > 0.05) at any timepoint between the two groups in terms of the proportion of participants showing RC (either improvement or deterioration)', 'significantly lower concerns about radiotherapy in the intervention group compared to control at F1 (p < 0.001) and F2 (p = 0.01)', 'significantly lower scores on the Sensory-Psychological Concerns subscale at F1 (p < 0.001)', 'no significant differences were found at F2 (p = 0.12) or F3 (p = 0.15)', 'significant differences in single-items relating to anxiety'], ['significant differences in single-items relating to preparation', 'significant differences in single-items relating to knowledge'], ['AU$25 (US$19) for consultations', 'Training workshops cost an estimated AU$25,425 (US$19,175)', 'Mean within-trial cost of AU$159 (US$120)', 'AU$35 (US$26) per patient']]"
230,29849515,"['Health-related quality of life (EORTC QLQ-C30 and QLQ-BR23)', 'Engagement in meaningful activities (EMAS)']","['Life impact', 'Life impact']","[['The score could range from 0 to 100 points.', 'p > 0.05', 'statistically significantly better results in systemic therapy side effects (U = 11; p = 0.001; r = 0.68) and breast symptoms (U = 24.5; p = 0.029; r = 0.48) scales, p < 0.05', 'global quality of life (0.85)', 'physical (0.54)', 'emotional (0.72)', 'cognitive (0.72)', 'social (0.66)', 'fatigue (0.78)', 'insomnia (0.59)', 'financial impact (0.52)', 'systemic therapy side effects (0.68)', 'p ? 0.05'], ['>41 points indicate good engagement', 'median baseline score: 29, lowest: 24 (insufficient), highest: 35 (moderate); median post-intervention score: 36, lowest: 31 (moderate), highest: 42 (good); Z = ?2.829; p = 0.005', 'r(10) = ?0.658; p = 0.039', 'r(10) = ?0.681; p = 0.030']]"
231,29849032,"['Feasibility: acceptability, recruitment, retention, adherence, adverse events and disease progression', 'Secondary outcomes: quality of life and cardiovascular health indices']","['Resource use', 'Life impact']","[['Adherence in the ET group was excellent with an average of 7304 min (95% CI 6719,7890) completed at 75% Hr max (i.e. 94% of target), or 140 min on average per week (95% CI 129,152) over 12 months.', 'The feasibility of collecting food frequency questionnaires was problematic with only 21 patients returning both baseline and 12 month questionnaires.', 'adherence: 94%'], [""{'Godin LTI questionnaire score': 'mean:20 points; 95% CI 12,27', 'EQ5D questionnaire score': 'mean:13 points; 95% CI 7,18'}"", ""{'submaximal fitness': 'mean:171 s; 95% CI 124,219', 'body mass': 'mean: ?2.0 kg; 95% CI ?2.9, ?1.1', 'diastolic blood pressure': 'mean: 8 mmHg; 95% CI 5,12', 'systolic blood pressure': 'mean: 13 mmHg; 95% CI 7,19'}"", ""{'UCwA group self-reported exercise behaviour on the Godin questionnaire': 'mean:15 points; 95% CI 5,25'}"", 'improved', 'fitness', 'ability to engage in everyday physical tasks without struggling as much as before', 'improved mental health']]"
232,29804638,"['Progression-free survival (PFS)', 'Response rate', 'Overall survival (OS)', 'Safety']","['Mortality', 'Clinical', 'Mortality', 'Adverse Event']","[['not statistically significantly better in any experimental Arm (p>0.039)', 'hazard ratios for Arms 1, 2 and 3 relative to the historical reference Arm are 0.81 (0.63 to 1.02), 1.22 (0.96 to 1.55) and 0.87 (0.68 to 1.11), respectively', 'HR = 1.17, 95% CI: 0.84 � 1.64', 'Among temsirolimus treated patients, TSC2 mutation was predictive of an improved PFS (HR = 0.11, 95% CI: 0.02 � 0.79)', 'However, patients with TSC2 mutated tumors appeared to have a better outcome on Arm 2', 'HR = 0.73, 95% CI: 0.60 - 0.91'], ['59%', '55%', '53%', '51%', 'not different between tumors with and without MMR loss', '[4/217 (1.8%)]'], ['statistically significantly increased in Arm 1 relative to the historical reference Arm with p<0.039', 'hazard ratio for Arms 1, 2 and 3 relative to the historical reference Arm: 0.71 (0.55 to 0.91), 0.99 (0.78 to 1.26) and 0.97 (0.77 to 1.23), respectively'], ['Discontinuation due to disease progression: not specified; Discontinuation due to patient refusal: 13%, 15%, and 13% in Arms 1, 2, and 3 respectively; Discontinuation due to toxicity: 23%, 21%, and 26% in Arms 1, 2, and 3 respectively', ""{'Hypertension grade 3 or higher': ['16.1%', '16.7%'], 'Proteinuria grade 3 or higher': ['5.4%', '4.4%'], 'Pneumonitis': 'p=0.002', 'Rash grade 2 or higher': 'p<0.001', 'Oral mucositis grade 2 or higher': 'p<0.001', 'Hypertriglyceridemia grade 3 or higher': 'p=0.004', 'Arterial thromboembolic events grade 3 or higher': '-999', 'Venous thromboembolic events grade 3 or higher': '-999', 'Non-CNS bleeding grade 3 or higher': '-999', 'GI fistula, leak, perforations grade 3 or higher': '-999', 'Neutropenia grade 3 or higher': '-999', 'Thrombocytopenia grade 3 or higher': '-999', 'Anemia grade 3 or higher': '-999'}""]]"
233,29802320,"['personal utility', 'willingness-to-pay for MPS', 'number of tests used', 'wait time for results', 'cost']","['Life impact', 'Life impact', 'Resource use', 'Resource use', 'Resource use']","[['disutility caused by higher costs of testing and opting out of genetic testing'], ['$400 (95% CI: $300, $500)', '$1245 (95% CI: $1027, $1462)', '$1541 (95% CI: $1224, $1859)'], ['17% of participants would prefer fewer tests be used to search for a genetic cause of CRC', 'least impact'], ['shorter wait time preferred', 'total wait time', 'most important attribute'], ['higher costs caused disutility', 'second most important attribute']]"
234,29793446,"['Enrollment rate', 'Tolerability', 'Adherence', 'Retention']","['Resource use', 'Adverse Event', 'Life impact', 'Life impact']","[['16%', '92%'], [""No serious AE's were experienced by any patient"", 'Hypertension was the most frequent AE among the control group, with 6 of 13 experiencing grade 3�5 hypertension', '[67% successfully maintained at 40 mg bid without adverse events, 17% titrated down to 20 mg bid, 8% remained at 20 mg bid due to preference or past hypotension experience, 8% taken off study due to symptomatic hypotension]'], ['90%', '74%'], ['11/13 (84%) of control patients remained in the study for its entirety', '[67%, 17%, 8%, 8%]', '100%']]"
235,29792232,"['all-cause mortality', 'severe postoperative complications', 'hospital length of stay']","['Mortality', 'Adverse Event', 'Resource use']","[['14% vs 9%', 'p = 0.4', 'RR 0.85, 95% CI 0.59�1.23; p for effect = 0.4'], ['RR 0.88, 95% CI 0.71�1.08; p for effect = 0.2'], ['MD � 1.6; 95% CI � 2.75 to ? 0.46; p for effect = 0.006']]"
236,29791437,"['Surgical Site Infection (SSI) rate', 'patient satisfaction', 'dressing changes within 48 hours', 're-operations', 'wound-related treatment costs']","['Adverse Event', 'Life impact', 'Clinical', 'Adverse Event', 'Resource use']","[['no SSI occurred', '7 patients (6.6%) in the Aquacel group, 16 patients (12.9%) in the control group', '1/56 (1.8%) in the Aquacel group vs. 7/65 (10.8%) in controls, RR 0.17 [CI: 0.03�0.99], adjusted OR 0.15 [0.02�1.31] p = 0.087', 'adjusted OR 0.13 [0.02�1.14] p = 0.065'], ['median score of 8 vs. 7 [p = 0.006]', 'median score of 8 in the �no early change� vs. 7 in the �early change� group; p = 0.003', 'median score 8 vs. 7, p = 0.003'], ['9.6% vs. 45.9% [RR 0.21 (CI: 0.11�0.40),adjusted OR 0.12 [0.05�0.27] p<0.001]', 'adjusted OR 2.979 [1.022�8.685] p = 0.046', '6.1% vs. 37.3%, p<0.001'], ['0% vs. 3.2%, p = 0.062'], ['�265.42 (SD = 908) vs. �470.65 (SD = 1223) [p<0.001] for high attributable costs; �59.12 (SD = 129) vs. �67.55 (SD = 172) [p<0.001] for low attributable costs']]"
237,29791287,"['pathologic complete response (pCR)', 'disease-free survival (DFS)']","['Clinical', 'Mortality']","[['30.4%', '39.9%', '31.5% (patients without BRCA1/2 mutations)', '50.0% (patients with BRCA1/2 mutations)', '48.6% (BRCA1 mutation carriers)', '56.3% (BRCA2 mutation carriers)', 'OR, 2.17; 95% CI, 1.37 to 3.46; P = .001', 'OR, 1.97; 95% CI, 1.20 to 3.25; P = .008', 'OR, 2.48; 95% CI, 0.91 to 6.77; P = .106', 'HR, 0.74; 95% CI, 0.32 to 1.69; P = .472', 'HR, 0.18; 95% CI, 0.11 to 0.31; P < .001', ""{'no bevacizumab': '27.8% (BRCA1/2-), 41.2% (BRCA1/2+); OR, 1.82; 95% CI, 0.97 to 3.44; P = .088', 'with bevacizumab': '35.6% (BRCA1/2-), 61.5% (BRCA1/2+); OR, 2.90; 95% CI, 1.43 to 5.89; P = .004'}""], ['HR, 0.644; 95% CI, 0.415 to 0.998; P = .047', ""{'HR': '1.39', '95% CI': '0.61 to 3.15', 'HR without BRCA1/2 mutations': '1.02', '95% CI without BRCA1/2 mutations': '0.74 to 1.40', 'P value for interaction': '0.451'}""]]"
238,29791275,"['lower distress', 'depression (p = 0.04)', 'knowledge unchanged', 'family']","['Life impact', 'Life impact', 'None', 'Life impact']","[[], ['p=0.05', '-0.51'], ['no difference in Knowledge score between groups'], ['responding in a more favorable direction (p=0.0004)']]"
239,29785635,"['Changes in PASE', 'System Usability Scale (SUS) and a semi-structured interview at T2', 'PASE sum score', 'Total minutes of PA increased with 46% (r = 0.37)', 'Sedentary time']","['Life impact', 'Life impact', 'Clinical', 'Clinical', 'Life impact']","[[], [], ['no significant differences', 'significant increase of 51% from T0 to T1'], [], ['no significant differences', '19% decrease between T0 and T1', '27% decrease between T0 and T2']]"
240,29776444,"['Proportion of patients with unforeseen N2 disease at surgery', 'Hospitalization', 'Morbidity', 'Overall 2-year survival', 'Quality of life', 'Cost-effectiveness', 'Cost-utility']","['Adverse Event', 'Resource use', 'Adverse Event', 'Mortality', 'Life impact', 'Resource use', 'Life impact']","[['the proportion'], [], [], [], [], [], []]"
241,29763431,"['ego-integrity', 'despair', 'psychological distress', 'anxiety', 'depression', 'quality of life', 'specificity of the autobiographical memory']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Clinical']","[[], [], [], [], ['9.3% in the intervention group versus 11.5% in the waiting-list control group; p = .70'], ['EORTC QLQ-C15-PAL Quality of Life Scale, p = .034'], []]"
242,29757876,['rate of carboplatin hypersensitivity reactions (HSRs)'],['Adverse Event'],"[['13%', '6 (11%) of 56 patients in the extended-infusion group', '9 (16%) of 58 in the standard-infusion group', '32% in patients treated with single-agent carboplatin', '15% in patients receiving carboplatin with gemcitabine', '38% in patients receiving carboplatin with paclitaxel']]"
243,29757459,"['Quality of life', 'Sense of meaning', 'Spiritual well-being', 'Anxiety', 'Desire for hastened death']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","[[], [], ['SWB', 'F(2,589)=3.92, p=.02', 'F(2,583)=4.09, p=.02'], ['HADS-A, F(2,590)=3.06, p=.05'], ['SAHD, F(2,589)=2.55, p=.08']]"
244,29752528,"['Decisional conflict', 'Involvement', 'Knowledge', 'Satisfaction with information', 'Preparation for decision-making', 'Anxiety and depression symptoms', 'Treatment satisfaction', 'Decisional regret']","['Life impact', 'None', 'None', 'Life impact', 'None', 'Life impact', 'Life impact', 'Life impact']","[['less decisional conflict'], [], ['Participants in the DA arm felt more knowledgeable'], ['Overall information satisfaction was lower in the DA arm, in particular for information usability, the amount of information, and completeness of the information', 'more information satisfaction'], ['Participants in the DA arm felt less prepared to make a decision'], ['medium or severe HADS scores were more common in participants who would prefer a printed DA (p = 0.03)'], [], []]"
245,29752332,"['Duration of response (DOR)', 'Progression-free survival (PFS)']","['Clinical', 'Mortality']","[['30.0 months (95% CI, 18.4?36.7)', '44.3 months', '27.5 months', '18.0 months', '15.7 months', '30.5 months', '9.3 months'], ['19.4 months (lenvatinib group), 3.7 months (placebo group)', 'HR 0.24; 99% CI, 0.17?0.35; nominal P < 0.0001', '33.1 months (95% CI, 27.8-44.6) for patients with CR or PR', '7.9 months (95% CI, 5.8-10.7) for patients without CR or PR']]"
246,29750261,"['radiation-induced hypothyroidism (RHT)', '1-, 2- and 3-year freedom from RHT rates', 'median latency period', 'thyroid gland received a median mean dose of 53.5 Gy', 'clinical factors affecting the development of radiation-induced hypothyroidism']","['Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[['96 patients (53.9%)'], ['78.4%', '56.4%', '43.4%', '63.4% sensitivity', '58.3% specificity', '3-year FFRHT of 58.8% in patients with TSH < 1.55 ?U/ml', '3-year FFRHT of 27.6% in patients with TSH ?1.55 ?U/ml'], ['21 months'], [], ['Female gender', 'smaller thyroid volume (<8 cm3)', 'higher pretreatment TSH level (?1.55 ?U/ml)', 'VS60 < 10 cm3', 'pretreatment TSH < 1.55 ?U/ml', 'thyroid VS60 ? 10 cm3']]"
247,29739384,"['Alleviation of hot flushes', 'Impact on daily life', 'Adherence to adjuvant hormonal therapy', 'Cost effectiveness', 'Fidelity of implementation']","['Clinical', 'Life impact', 'Adverse Event', 'Resource use', 'Resource use']","[['effective for the alleviation of hot flushes in both well women and women who have had breast cancer'], ['can have a significant impact on daily life, potentially leading to reduced adherence to life saving adjuvant hormonal therapy'], ['potentially leading to reduced adherence'], ['The cost effectiveness of the intervention will also be assessed.'], ['nurses can be trained to deliver psychological treatments to a satisfactory level, whilst also maintaining treatment fidelity', 'Fidelity of implementation of the intervention will be conducted by expert assessment']]"
248,29739356,"['Pathologic complete response (pCR)', '3-year disease-free survival (DFS)', 'Radiotherapy-related complications', 'R0 resection rate', 'Tumor response rate', 'Surgery-related morbidity', 'Peripheral neuropathy at 3 year after the surgery']","['Clinical', 'Mortality', 'Adverse Event', 'Clinical', 'Clinical', 'Adverse Event', 'Adverse Event']","[['15 to 30%'], ['65 to 80%'], [], [], [], [], []]"
249,29736007,"['Cancer-related fatigue (CRF)', 'Depression', 'Anxiety', 'Stress', 'Self-esteem', 'Sleep quality', 'Mental health-related quality of life (HRQoL)', 'Cardiorespiratory fitness']","['Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Clinical']","[['4.4; 95% CI, 1.5�7.3; p = 0.003', 'p = 0.031', 'p < 0.10', 'moderated by baseline aerobic exercise (pinteraction = 0.08)', 'moderated by baseline fatigue (pinteraction = 0.04)'], [], [], [], ['p = 0.029'], [], ['MCS (p = 0.034)', 'vitality (p = 0.001)', 'social functioning (p = 0.011)', 'general health (p = 0.016)', 'role-physical (p = 0.048)', 'mental health (p = 0.054)'], ['Improved VO2peak by 3.7 ml O2/kg/min (p < 0.001) compared to UC', 'baseline VO2peak (pinteraction = 0.09)', 'baseline testosterone levels (pinteraction = 0.04)']]"
250,29730827,"['Cancer and Treatment Distress', 'Symptom Checklist-90-R Depression', 'Fatigue Symptom Inventory']","['Life impact', 'Clinical', 'Clinical']","[['58% of eligible', 'n=222', 'median number of page views was 9', 'interquartile range of 0-23', 'full range of 0-179', 'A third (32%, n=71) viewed no pages or only visited the home page of the site', 'all P >0.3', 'no factors affected point estimates between study arms', 'RR=2.3, CI 1.0, 5.1, P=.032', '42% vs. 20%, RR=2.7, CI 1.2, 6.1, P=.009'], ['no differences between intervention arms and controls in rates of change', '60% vs. 36%, RR=1.7, CI 1.0, 2.8, P=.047'], ['no differences between intervention arms and controls in rates of change']]"
251,29729848,"['biochemical recurrence free survivals', 'metastasis events']","['Clinical', 'Adverse Event']","[['5-year BCR in GSE21032: HR 4.59, 95% CI 1.71�12.32, P = .0025', '5-year BCR in GSE54460: HR 2.12, 95% CI 1.20�3.74, P = .0098', 'Cambridge cohort (default median cut-off): HR 2.54, 95% CI 0.96�6.69, P = .06', 'Cambridge cohort (upper quartile split): HR 4.54, 95% CI 1.82�11.36, P = .0011', 'Continuous signature score in Cambridge cohort: P = .047', 'HR 2.81, 95% CI 1.33�6.00, P = .007'], ['distant metastasis events', 'HR of 2.41 (95% CI 1.38�4.19, P = .002)', 'significantly higher in metastatic compared with primary tissue (P = .007)']]"
252,29723235,"['health-related quality of life', 'QOL-C30 Global Health Status and Quality of Life', 'fatigue', 'insomnia', 'HADS anxiety and depression scales', 'POMS-assessed anger-hostility']","['Life impact', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Life impact']","[['significant improvement'], ['median scores from 75 to 83 in AMT group, from 79 to 67 in no-AMT group; P = 0.042'], ['median scores from 33 to 28 in AMT group, from 22 to 33 in no-AMT group; P = 0.047'], ['median scores from 33 to 0 in AMT group, from 0 to 17 in no-AMT group; P = 0.003'], [], []]"
253,29722660,"['Biochemical and clinical failure rates', 'Toxicity assessed using clinician-reported outcome (CRO) and patient-reported outcome questionnaires', 'Acute bowel toxicity (grade 3)', 'Acute bladder toxicity (grade 3)', 'Late bowel side effects (CRO grade ?2)', 'Bowel bother (small or greater)', 'Bladder bother', '5-year cumulative incidence']","['Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Life impact', 'Clinical']","[['5 year BCF-free rates were 88.9% (95% CI 86.5-90.9), 90.5% (88.3-92.3) and 85.5% (82.8-87.8) in the <75 age group', '84.7% (77.3-89.9), 91.0% (83.7-95.1) and 87.7% (80.2-92.4) in the 75+ age group'], ['similar in the two age groups'], ['2% in <75 age group', '2% in 75+ age group'], ['147/1859 (8%)', 'There was no certain evidence of a difference in time to first grade 2+ bladder toxicity using CROs for either hypofractionated group compared to the control group in either age group'], ['9.9% (95% CI: 8.8-11.2)', '12.5% (9.5-16.3)', 'The 5 year cumulative incidences of grade2+ RTOG, RMH, and LENT-SOM bladder late side effects were similar with rates of 6.6 (95% CI 5.7-7.7) % / 9.2 (6.9-12.3) %, 25.9 (24.2-27.7) % / 32.1 (27.6-37.0) % and 38.1 (36.1-40.1) % / 40.5 (35.7-45.7) for the <75 and 75+ groups respectively'], ['32% (95% CI: 30-35)', '38% (32-44)', 'Patient-reported small+ bladder bother peaked at 10 weeks after the start of radiotherapy and was similar in both age groups'], ['At 2 years, the prevalence of small+ bladder bother was 140/1154 (12%) and 33/149 (22%) in the <75 and 75+ groups respectively remaining slightly higher in the 75+ group at all time points to 5 years'], ['30% (95% CI: 28-33) and 39% (33-46) in the <75 and 75+ groups.']]"
254,29722481,"['moderate to vigorous physical activity (MVPA)', 'fitness', 'neurocognitive function', 'health-related quality of life (HRQoL)']","['Life impact', 'Life impact', 'Clinical', 'Life impact']","[['175 minutes (SD 101.9) for the intervention group', '200 (SD 90.6) for the control group', 'increased over time', 'no statistical difference between groups for mean change after 24-weeks (4.7 minutes intervention group, ?24.3 minutes control group, p=0.30)'], ['statistically improved over time in the intervention group'], ['statistically improved over time in the intervention group', 'two neurocognitive outcomes (e.g. Full Scale IQ and Inhibitory control)'], ['statistically improved over time in the intervention group', 'assessed using the Pediatric Quality of Life Inventory v4']]"
255,29720370,"['risk of liver cancer', 'CLD mortality']","['Mortality', 'Mortality']","[['OR=1.98, 95% CI=1.22-3.20, p-trend=0.003', 'ORlowest vs. highest quartile=1.49, 0.65-3.41', 'ORlowest vs. highest quartile=2.13, 1.06-4.28'], ['OR=1.93, 95% CI=1.23-3.03, p-trend=0.006', 'ORlowest vs. highest quartile=2.64, 1.32-5.27', 'ORlowest vs. highest quartile=0.80, 0.32-2.00']]"
256,29720113,"['average nausea score', 'Nausea scores and distress from nausea improved over time', 'Improved global impression of change']","['Clinical', 'Clinical', 'Life impact']","[['5/10', 'improved over time (p < .001)', '2.5', '2.3'], ['After treatment completion (72 h), patients in both arms were less distressed by nausea.'], ['From 64% at 24 h to 86% (single agent) and from 70% to 82% (guideline therapy) at 72 h.', 'p < �001']]"
257,29716897,"['Endometrial proliferation', 'Weight loss', 'Total fat mass', 'Serum biomarkers']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['no significant changes in endometrial proliferation (%Ki-67+) observed by intervention group', 'significant variation in each group is apparent'], ['-4.23 kg', 'p=0.006', '?3.9�5.1%', '-3.0�2.3%', '-7.1�5.2%', '+0.3�1.6%', '-3.4�4.9%', '-3.1�3.5%', '-5.5�13.5%', '+0.8�1.0%'], ['-3.23 kg', 'p<0.001'], ['+33.67 mcg/dL increase in DHEA-S (p=0.001) for participants receiving metformin', 'reduced hemoglobin A1C (p=0.036), C-peptide (p=0.027) in participants receiving metformin, but not statistically significant after adjusting for multiple comparisons and false-discovery rate correction', 'participants receiving lifestyle intervention may have lower insulin (p=0.018), SHBG (p=0.015), but again these were not statistically significant after adjusting for multiple comparisons and false-discovery rate correction', 'no statistically significant differences were identified']]"
258,29716555,"['postoperative complications', 'indwelling time of bladder and drain catheters', 'length of postoperative hospital stay', 'recurrence', 'death']","['Adverse Event', 'Resource use', 'Resource use', 'Clinical', 'Mortality']","[['significantly less total number of postoperative complications in the RRH group than in the LRH group (p < 0.05)', 'no significant difference between two surgical groups was seen in postoperative complications including febrile morbidity, port site cellulitis/hernia/dehiscence, urinary tract infection and ureteral injury (p > 0.05 for all)', 'two surgical groups had no postoperative complication including urinary retention, bowel injury/obstruction, pulmonary embolism and deep vein thrombosis', 'no postoperative complication of vaginal vault, such as bleeding, infection, dehiscence and leakage in two surgical groups', 'no postoperative complication including rectovaginal, vesicovagina and ureterovagina fistulas was noted in two surgical groups'], ['shorter indwelling time of bladder and drain catheters was observed in the RRH group than in the LRH group (p < 0.05 for all)'], ['length of postoperative hospital stay in the RRH group was significantly shorter compared with that in the LRH group (p < 0.05)'], ['patients in two surgical groups similarly experienced the recurrence and death (p > 0.05 for all)'], ['patients in two surgical groups similarly experienced the recurrence and death (p > 0.05 for all)']]"
