Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
39733417,['18-70 years'],['female'],"['cancer', 'Oral cavity malignancy']",['90 patients'],[['American Society of Anesthesiologists (ASA) physical status I-III']],
39718597,['69 years'],['male and female'],['lung cancer'],['140 patients'],"['The eligibility criteria for the population under study include patients with primary lung cancer who underwent lobectomy and lymph node dissection between September 2020 and February 2024.', 'Eligibility of population under study: Patients aged > 20 years scheduled for lobectomy for suspected clinical stage I primary lung cancer under VATS or RATS, excluding those with allergy to ninjin’yoeito or its ingredients, recent herbal medicine use, low hepatic or renal function, thoracotomy, resection of more than two lobes, and inability to start drinking fluids within 3 days post-surgery.']",
39715755,['not specified'],['male'],"['advanced non-small cell lung cancer (NSCLC)', 'non-squamous lung cancer']",450 patients,['without pretreatment'],
39711061,['18-75 years'],['male'],['Pancreatic cancer'],154 patients,"[""18 years old ≤ age ≤ 75 years old; average language expression ability, able to communicate effectively; tumor treated with radical resection surgery, confirmed as PC by pathology; blood routine, liver and kidney function, and electrocardiogram are normal before treatment; referring to “Pancreatic Cancer Diagnostic and Treatment Guidelines (2022 Edition)” (General Office of National Health Commission), first‐line chemotherapy regimens are selected according to the patient's physical status, including gemcitabine‐based two‐agent combination regimen, or three‐agent combination FOLFIRINOX or mFOLFIRINOX regimen; patients and their families voluntarily participate in this study, sign the informed consent, have good compliance, and can follow up."", '75', '145']",
39709461,['66 years (± 9 years)'],['female'],['locally advanced non-small cell lung cancer (NSCLC)'],['235 patients'],['235 patients with histologically proven NSCLC and UICC stages IIIa-c.'],
39707245,['not specified'],['female'],,['61 patients'],"['Answer: fourth-year undergraduate students pursuing clinical medicine at the Baoding Fourth Central Hospital, 64 participants', 'The eligibility criterion for the population under study is age ≥ 18 years.', 'The eligibility of the population under study is not explicitly mentioned in this chunk. However, it does provide information about the sample size calculation, which determined that there should be 22 cases in both the intervention and control groups, totaling at least 56 participants after accounting for potential attrition due to loss to follow-up and refusal.', '65-year-old male']",
39706981,['adults'],['female'],['CRC (Colorectal Cancer)'],['101 patients'],"['101', 'The eligibility criteria for the population under study include: confirmed diagnosis of CRC, life expectancy of at least six months, being an adult, sufficient auditory and visual capacities, Karnofsky Performance Status (KPS) of at least 80, no prior psychological therapies such as CBT, mindfulness interventions, or BA, baseline PSQI sleep score of at least 6. Exclusion criteria include brain metastasis or other conditions affecting cognitive function, use of sleep-influencing medications like benzodiazepines or amitriptyline, and having other chronic diseases and organ dysfunctions.', '101']",
39705576,['≥18 years'],['male'],['early-stage prostate cancer'],180 patients,"['The eligibility criteria for the population under study include having histologically confirmed localized prostate cancer (PCa) with stages T1-T3N0M0, being older than 18 years, and completing treatment within 1-6 months. Patients not receiving treatment and following active surveillance, as well as those unable to speak or read English or French, were excluded from the study.', 'Eligibility: Consenting participants who completed the baseline questionnaire.']",
39705529,['18-39 years'],"['Black', 'White']","['cancer', None, 'active treatment', 'treatment completion']",396 patients,"['18-39 years', '18‐39 years old', '18-39 years of age, previous cancer diagnosis', 'The eligibility of the population under study is young adults with cancer.', 'Eligibility criteria: participants must have a confirmed cancer diagnosis between ages 15-39 years. They are not eligible if they prefer not to answer or report ""I never had a cancer diagnosis.""', 'The eligibility criteria for the population under study include age ranges (18-24, 25-29, 30-34, and 35-39 years), race (Black vs White), gender (women vs men), and treatment status (completed vs active treatment).']",
39696111,['Black women aged 65.0 years'],['Black women'],['breast cancer'],26 patients,"['Black women with breast cancer', ""African American or Black women with a history of breast cancer (Stage I–IV), English-speaking, not on regular meditation or gratitude practices, not meeting CDC's physical activity guidelines, and not on hormonal therapies or anti-HER-2 therapy."", '26 Black female participants', 'The eligibility criteria for women in this study were met by >75% of those approached. Additionally, >80% of participants completed baseline assessment measures, and >80% of those who completed baseline assessments also completed post-intervention assessments.']",
39694978,['54.2 (SD=14.1) years'],['male'],['advanced/metastatic RET-mutant medullary thyroid cancer (MTC)'],290 patients,"['n=290', '18 or older']",
39693591,"['59 years (range, 27-86)']",['female'],"['advanced breast cancer', 'advanced breast cancer']",368 patients,"[['Hormone receptor-positive', 'human epidermal growth factor receptor 2-negative'], ['recurrence on/after adjuvant CDK4/6i + ET']]",
39690158,['18 years or above'],['male'],"['metastatic, hormone-sensitive prostate cancer']",72 patients,"['Eligibility criteria: men aged 18 years or above, having histologically or cytologically verified high-volume prostate adenocarcinoma, with four or more bone lesions identified using a [99Tc] bone scan, minimum of one lesion outside pelvis or vertebral column or visceral metastases (excluding lymph node involvement) via CT or MRI, ECOG performance status 0 or 1, sufficient organ function, prior ADT treatment no more than three months before study entry with no evidence of progression, excluded: neuroendocrine differentiation, small-cell characteristics, history of chemotherapy or localized treatment, but eligible if received palliative radiotherapy, transurethral resection of the prostate, or surgical interventions for metastatic symptoms at least four weeks prior to treatment initiation and all treatment-related adverse events resolved to grade 1 or 0.', 'Eligible patients had ECOG performance status of 0 or 1 and no visceral metastases.']",
39680411,['18 years or older'],['Women'],['advanced breast cancer'],45 patients,['baseline clinical anxiety'],
39668137,['18 years and older'],['female'],['platinum-sensitive relapsed ovarian cancer'],['2:1.'],[['BRCA-mutated']],
39667310,['35-70 years'],['female'],['colorectal cancer liver-only metastases (CRLM)'],46 patients,['initially unresectable'],
39663356,['37-82 years'],['male'],['metastatic castration-resistant prostate cancer'],133 patients,"['The eligibility criteria for the population under study in Alliance A031201 clinical trial were men with previously untreated metastatic castration-resistant prostate cancer (mCRPC) who had progressive disease despite ongoing androgen deprivation therapy (ADT). Prior treatment with docetaxel or first-generation AR inhibitors was permitted in earlier settings.', '38', 'The population under study consists of healthy male donors (n = 8).']",
39656317,['53.6 years'],['female'],['breast cancer'],261 patients,"['age > 18 years, physically inactive (< 1 h/week exercising), non-metastatic breast cancer patients', '261']",
39643866,['20 years and above'],['female'],,90 patients,"['female', '19', 'twelve schools', 'Answer: Arabic schools in Klang Valley, 12 schools that met eligibility criteria', 'Arabic schools in Klang Valley with Yemeni female teachers aged 20 years and above who signed a consent form. Exclusions: schools without Yemeni female teachers, retiring teachers, those with breast cancer, and lactating or pregnant teachers.', 'The eligibility of the population under study includes 30 Yemeni female schoolteachers who were not involved in the main study. They provided feedback to identify any difficult or inappropriate words or expressions, leading to revisions and development of the final versions of the questionnaire and educational module.']",
39641926,['18 years or older'],['female'],['gastrointestinal cancer'],['563 patients'],['eligible for fluoropyrimidine and/or irinotecan treatment'],
39639252,['18-65 years'],['female'],['low health literacy'],92 patients,"['The eligibility of the population under study is women over 18 years old.', '18 years or older, no diagnosed mental, visual, or learning disabilities by a physician, and not previously participated in breast education research projects.', ""The eligibility criteria for the population under study include being a woman over 18 years old with limited health literacy, as determined by an HELIA score below a specific threshold (typically less than 50). Potential participants were contacted and provided with detailed information about the study's purpose, risks, benefits, and participation requirements. Informed consent was obtained verbally after explaining the study in simple language without complex medical terms."", 'female', 'The eligibility of the population under study is individuals aged 18-65 years.']",
39631846,['18 years and older'],,['microsatellite stable refractory metastatic colorectal cancer (mCRC)'],180 patients,['18 and older'],
39630848,['25-65 years'],['female'],['BRAF V600E-mutant metastatic colorectal cancer (mCRC)'],107 patients,['The eligibility of the population under study includes mCRC patients with proven BRAF V600E mutation based on tissue analyses.'],
39625569,['?55 years'],['adults'],['Stage II/III breast cancer'],9 patients,"['The eligibility of the population under study includes adults aged 18 or older with stage II/III breast cancer, having a tumor greater than 2.5 cm by clinical examination or greater than 2 cm by imaging, and molecularly high-risk disease if hormone receptor (HR) positive. All participants must sign written informed consent.']",
39623242,['47-83 years'],['female'],['urinary and/or fecal incontinence'],11 patients,['after pelvic radiotherapy'],
39621954,['52.1 ± 9.6 years'],['male'],,17 patients,['214 GPs participated in the survey. The response rates were 55% for I CARE study with 68 out of 124 GPs and 79% for PROSPEC study with 146 out of 186 GPs. The mean age was 52.1 years (±9.6) and they had an average of 19.0 years (±9.5) in general practice.'],
39621348,['66.4 [9.6] years'],['male and female'],['non-small cell lung cancer'],112 patients,"['The eligibility criteria for the population under study include patients who received lung resection for newly diagnosed NSCLC, a life expectancy of more than 6 months, an Eastern Cooperative Oncology Group performance status of 0 to 2, and not already meeting aerobic physical activity recommendations.', '112']",
39615400,['aged ≥ 65'],['male'],['cancer'],30 patients,"['65 years or older, able to ambulate with/without assistance, and collaborate with research team after signing informed consent form. Excluded if expected length of stay was less than six days, terminal illness, very severe cognitive decline (Global Deterioration Scale score, 7), uncontrolled arrhythmias, acute pulmonary embolism, acute myocardial infarction, or extremity bone fracture in the past 3 months.']",
39608979,['18-64 years'],['female'],['advanced non-squamous non-small-cell lung cancer (NSCLC)'],52 patients,"[['previously untreated', 'without EGFR/ALK alterations']]",
39608305,['≥80 years'],['adult patients'],['metastatic colorectal cancer (mCRC)'],152 patients,"['≥70 years', '70 versus >70-75 versus ≥75-80 versus ≥80 years, sex, baseline VES-13 score (≥3 versus <3)']",
39604957,['35-67 years'],['female'],"['Triple Negative Breast Cancer', 'cancer', 'cancer']",152 patients,"['18-66 years; female; able to tolerate chemotherapy; no history of other tumors, severe cardiovascular disease, uncontrolled infection, or contraindications to radiotherapy and chemotherapy; normal lab results for blood, cardiac, liver, and kidney function tests.']",
39602807,['Patients aged 20-80 years'],['female'],['colon cancer'],840 patients,"['20-80 years', 'eligible patients']",
39599746,['28-64 years'],['female'],['breast cancer'],24 patients,"['female', 'Eligible participants: newly diagnosed with BC stages II or III, aged 28–64 years, without distant organ metastasis, and scheduled to receive their first chemotherapy treatment with Adriamycin + Cytoxan (AC) across four cycles.', '22 participants per group']",
39592738,['18 years or older'],['female'],"['locally advanced/metastatic lung cancer', 'cough']",166 patients,"['18 years or older with locally advanced or metastatic non-small cell lung cancer, ECOG performance status (PS) between 0 and 2, moderate (grade 2) or severe (grade 3) cough lasting for at least 2 weeks, creatinine clearance ≥60 mL/min, willing and able to limit to one alcoholic beverage per day, not previously treated with pregabalin or gabapentin, no hypersensitivity to pregabalin or gabapentin, not pregnant or breast-feeding.']",
39591551,['18 years and older'],['female'],['endometrial cancer'],612 patients,"[['no previous chemotherapy', 'disease progression ?6 months after neo/adjuvant platinum-based chemotherapy']]",
39590137,['63.98 years'],['male'],"['laryngeal cancer, stages III and IV']",['92 patients'],"['The eligibility of the population under study includes consecutive patients with stages III and IV laryngeal cancer recruited from 1 April 2023 to 1 April 2024. The total sample size is 96, divided equally between a treatment group and a control group.', 'The eligibility criteria for the population under study included laryngeal squamous cell carcinoma stages 3 and 4, suitability for surgery (total laryngectomy with selective neck dissection), no previous radiation treatment, absence of neurological conditions affecting swallowing ability, and mental/cognitive capacity to follow instructions and respond to questionnaire items. The final sample size was 92 patients.']",
39589370,['≥18 years'],['female'],"['Localized muscle-invasive bladder cancer', 'cancer']",564 patients,"['Eligible patients had predominant urothelial cancer clinical stage T2–4a, N0–2 (AJCC 7th edition, 2010) and elected radical cystectomy with curative intent.', 'The eligibility of the population under study includes institutions with experienced urologic oncology surgeons who performed ≥ 50 radical cystectomies (RCs) over the previous 3 years and at least 30 per year by all surgeons at their respective hospital. Each surgeon underwent rigorous credentialing prior to registering their first patient and submitted operative and pathology reports and representative intra-operative photos from five recent RCs to verify compliance with the study protocol. Submissions were approved by the credentialing committee prior to registering patients.', '100', '564']",
39587053,['≥20 years'],['adults'],['metastatic colorectal cancer'],360 patients,['RAS wild-type'],
39585879,['40'],['female'],"['breast cancer', 'Nigerian women']",30 patients,"['The eligibility criteria for the population under study include: females aged 18-70, newly diagnosed with breast cancer (BC) within the recent three months, currently receiving chemotherapy, having access to a smartphone and internet, able to read and write in English, cognitively capable of completing questionnaires, and consent to join the study. Those with concurrent physical or mental illness and cognitive impairment were excluded.', 'eligible women']",
39585696,['59.6 (6.8) years'],['not specified'],['average risk for colorectal cancer (CRC)'],3936 patients,['not current with screening per US Preventive Services Task Force recommendations'],
39576946,['older than 18 years'],['female'],['unresectable RAS/BRAF wild-type metastatic colorectal cancer'],136 patients,"['age older than 18 years', 'Eligible patients were stratified according to ECOG PS (0-1 v 2), previous adjuvant therapy (no v yes), sidedness (left v right), and metastatic sites (1 v ≥2).']",
39572271,['Women >18 yr'],['female'],"['advanced ovarian cancer', 'ASA physical status', 'No speech/language issues']",220 patients,"['Eligible population: women diagnosed with ovarian cancer stages III and IV, ASA physical status 1-3, age >18 yr, scheduled for upfront cytoreductive surgery with curative intent. Excluded: contraindication to epidural anaesthesia, allergy to component drugs used during epidural or intraperitoneal anaesthesia, cognitive, speech or language difficulties, no attempt of cytoreductive surgery due to extent of disease, other histopathologic diagnosis at or after surgery, did not receive adjuvant chemotherapy.', 'female', 'female']",
39570590,['75 years or younger'],['male'],['stage II or III colorectal cancer'],['1355'],"['75 years or younger', '53', '2456 of 2509']",
39570589,['not specified'],['white'],"['stage IIIC or IV epithelial ovarian, fallopian, or primary peritoneal carcinoma', 'cancer', 'breast cancer']",100 patients,"['18 years or older', '100', '5.6 patients per month']",
39566464,,['female'],['triple-negative breast cancer'],174 patients,"['174 patients with cT1-cT4a-d triple-negative breast cancer (TNBC)', '55 patients for MEDI4736 trial and 482 patients for BrighTNess trial.', 'n = 148']",
39565523,['not specified'],['male and female'],['glioblastoma'],545 patients,['545'],
39556485,['67.3 years (SD: 9.7 years)'],['male'],['advanced lung cancer'],103 patients,"['20 years', 'The eligibility criteria for the population under study include patients with NSCLC or SCLC, stratified by study site and patient age (< 75 or ≥ 75 years).', 'The eligibility criteria for population under study include holding advanced-level certification (certified nurse or certified nurse specialist) in relevant fields and having completed at least 10 hours of training based on the intervention manual. Certified nurses must have at least 5 years of clinical experience and 6 months of advanced-level training in one of 21 specialized areas, while certified nurse specialists must have at least 5 years of clinical experience and 2 years of advanced-level training in one of 10 specialized areas. Both credentials are authenticated by the Japanese Nursing Association. Eligible participants include certified nurses in palliative care, certified nurses in cancer pain management nursing, certified nurse specialists in cancer nursing, and certified nurse specialists in psychiatric mental health nursing.', '206']",
39556015,['65.7 years (mean age)'],['men (47%)'],"['cancer', 'PE (pulmonary embolism)']",,['acute low-risk pulmonary embolism'],
39551064,['18 years or older'],['female'],"['HNSCC (Head and Neck Squamous Cell Carcinoma)', 'stage I-III p16-positive oropharyngeal carcinoma or unknown primary carcinoma', 'Contraindication to cisplatin']",234 patients,"[['ECOG performance status 2', 'renal impairment', 'hearing impairment', 'peripheral neuropathy', 'aged at least 70 years with moderate or severe comorbidity', 'aged younger than 70 years with severe comorbidity']]",
39548802,['18 years or older'],['female'],"['breast cancer, locally advanced (stage II-III), ER+', 'breast cancer']",64 patients,"['age from 36 to 65 years; BMI > 18, ≤30; BC stage II to III; familiar with the use of smartphone apps; able to travel to the research facilities for testing.', '37']",
39548800,['≥18 years'],['female'],"['cancer', 'Anxious mood', 'Depressed mood']",215 patients,"['215 consecutively included patients with cancer undergoing radiotherapy at the oncology clinics of 2 Swedish university hospitals.', '18 years, gynecologic, anal, rectal, colon, stomach, pancreatic or testicular cancer, radiotherapy to pelvic or abdominal fields of at least 800 cm3 volume and 25 Gy dose, ability to give informed consent', '215']",
39545921,['18 years or older'],['female'],['metastatic triple-negative breast cancer (mTNBC)'],42 patients,"['The eligibility of the population under study includes patients with metastatic triple-negative breast cancer (mTNBC).', 'Eligible patients were 18 years or older, had metastatic or incurable locally advanced histologically documented TNBC (negative for HER2, ER, and PR), measurable disease by iRECIST, ECOG performance status 0–1, and received maximum one previous line of chemotherapy for metastatic disease.']",
39543743,['≥18 years'],['female'],"['BCRL (Breast Cancer Related Lymphedema)', 'BCRL']",['41 patients'],"['39 patients receiving ADRCs and lipotransfer', '5 pt.']",
39543536,['18-75 years'],['female'],['cervical cancer'],180 patients,"['Eligible patients were ≥ 18 years and ≤ 75 years of age, had a weight ≥ 45 kg, needed to receive CCRT, had pathologically confirmed cervical squamous cell carcinoma, had cervical adenocarcinoma or cervical adenosquamous carcinoma, and had an Eastern Cooperative Oncology Group (ECOG) performance score of ≤ 1. The patients were also required to have no blood disorders before CCRT and to exhibit the following: white blood cell count ≥ 3 × 10^9/L, absolute neutrophil count (ANC) ≥ 2 × 10^9/L, platelet count ≥ 100 × 10^9/L, haemoglobin ≥ 100 g/L, and normal liver and kidney function.', '180 patients']",
39542974,['≥18 years'],['female'],['cancer'],['Seventy'],"['The population under study consists of oncology patients undergoing surgery, recruited from two Surgery departments at an Oncology Hospital in Portugal.', 'Eligibility: major abdominal surgery patients recruited between January 2023 and May 2023, excluding those who refused participation (5). Sample size calculated using G*Power® program with significance level at 5%, test power at 80% and an estimated effect size of 0.80.', 'The eligibility criteria for the population under study include patients with scheduled abdominal surgery, expected hospitalization the day before surgery, being conscious and oriented in terms of time and space, and agreeing to participate with informed consent. The sample size consists of 35 participants in both the control and intervention groups.']",
39534995,['18 years or older'],['male and female'],['cancer'],60 patients,"['18 years old or older, diagnosed with cancer, undergoing outpatient chemotherapy treatment, able to speak, read, and write in Turkish, agreed to participate, completed the first cycle of chemotherapy, and were undergoing the second cycle of chemotherapy. Exclusion criteria included those diagnosed with psychiatric diseases and those with limited communication and hearing problems.']",
39533260,['55-80 years'],"['female, male', 'Black or White']",['cancer'],226 patients,,
39533250,['45-65 years'],['male'],['clinically significant prostate cancer (csPCa)'],['380 patients'],"['45-85 years', '1:1', 'The eligibility criteria for the population under study is not explicitly mentioned in this chunk. However, it does provide information about the required sample size (380 participants) to achieve 80% power with a two-tailed test for two independent proportions at a significance level of 0.05, accounting for potential dropout and stratification effects.', '45 to 65 years and 65 to 85 years']",
39533204,['20-70 years'],['female'],['early breast cancer'],160 patients,"['Answer: 160 patients', '160 patients with breast cancer', 'female patients, aged 20–70 years, diagnosis of breast cancer, did not receive chemotherapy before and plans to undergo ≥ 4 consecutive cycles of EC chemotherapy in accordance with the requirements of this study and had risk factors of FN, physical condition (Karnofsky performance status) score of ≥ 70 points, expected survival period of > 3 months, no other diseases of the blood except for mild anemia of iron deficiency anemia, within 1.5 times the upper limit of the normal for aspartate aminotransferase and/or alanine aminotransferase, within 1.5 times the normal upper limit for serum creatinine levels, patient (or legal representative) signs the informed consent form']",
39529388,['73 years'],['female'],,"['153 patients', '118 patients']","['153', '118 patients were categorized into low-risk (13), intermediate-risk (49), and high-risk (56) groups based on the prognostic single-patient classifier. Additionally, patients were classified as chemotherapy-benefit (48) or no-benefit (70) groups using the predictive single-patient classifier.', '118 patients', 'The eligibility of the population under study is histopathologically confirmed patients with stage III gastric cancer based on the AJCC 7th edition.']",
39528916,['over 65 years old'],['elderly hospitalized patients'],"['frail elderly', 'gastric cancer', 'frailty']",120 patients,"['Patients over the age of 65 with a Fried Frailty Index score of 2 or higher, who were scheduled for surgical resection of gastric adenocarcinoma, and whose life expectancy was estimated by the surgeon to be greater than six months, were considered for inclusion in this study.', 'The population under study consists of elderly hospitalized patients, as indicated by the NRS2002 scale being valid and reliable for identifying nutritional risk in this group. The eligibility criteria include having a NRS 2002 score of ≥ 3 indicating nutritional risk. Participants completed a 3-day total food recall questionnaire at baseline to evaluate their daily caloric and protein intake. Dietary goals emphasized reducing calories from fats and sugars while ensuring adequate essential nutrients, with specific targets based on Chinese Dietary Guidelines (300-500 g vegetables/day, 200-350 g fruit/day) and a target protein intake of 1.5 g/kg/d. Thirteen participants required whey protein supplementation to meet the recommended protein intake.', '120']",
39527466,['≥18 years'],['Japanese'],"['metastatic hormone-sensitive prostate cancer (mHSPC)', 'normal weight', 'ECOG performance status', 'de novo metastatic hormone-sensitive prostate cancer (mHSPC)', 'prostate cancer']",286 patients,['Patients aged ≥18 years with mHSPC were eligible if they had Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1 and were candidates for ADT and docetaxel.'],
39520048,['24-86 years'],['female'],['advanced endometrial cancer'],500 patients,"['female, 64.0 years, 70 kg']",
41617212,['≥65 years'],['78.6% female'],['breast cancer'],112 patients,"['cancer survivors (86% breast cancer) and their partners, BMI ?25 kg/m2']",
41591537,['30-75 years'],['female'],['advanced sqNSCLC'],153 patients,['previously untreated'],
41589575,['18-75 years'],['male and female'],['non-small-cell lung cancer'],334 patients,"['18 to 75 years, stage Ib-IIIa NSCLC, complete resection', '167']",
41578585,['27-93 years (mean: 47.5)'],['female'],['upper gastrointestinal tract cancer'],4 patients,"['The eligibility of the population under study includes patients diagnosed with upper digestive tract malignant tumors in 4 tertiary hospitals in China between July 2022 and July 2023.', 'The eligibility of the population under study includes patients with complete data and those with histopathological confirmation of upper GI tract tumors. Excluded are patients with postoperative recurrence, confirmed non-early cancer cases by endoscopic ultrasound or postoperative pathology, or those with tumor metastasis.']",
41575745,['≥18 years'],,"['smoking-related condition (implied)', 'lung cancer']",25 patients,"['English-speaking, Spanish-speaking']",
41569457,['35-73 years'],,['cancer survivors'],52 patients,['18 years old'],
41569453,['18-65 years'],['female'],['lower extremity lymphedema'],['72 patients'],"[['post-endometrial cancer', 'post-cervical cancer']]",
41557895,['50-74 years'],['female'],"[None, 'smoking habit']",200 patients,"['156', '50-74 years, marked smoking history, active smoking status, access to smartphone (iPhone or Android), no moderate or bad self-reported health, no current or past melanoma, lung, renal, or breast cancer, no chest CT examination within 1 year.', 'Eligible participants were randomized with block method in 1:1 fashion with stratification according to pack years (<30 or ≥30) and age (<65 or ≥65).']",
41546786,['63.6 (6.6) years'],['men'],"['low-risk, localized prostate cancer']",51 patients,"['The eligibility criteria for ASX trial participants include being men with biopsy-proven, non-metastatic clinical stage T2 or lower prostate cancer (PCa), opting for active surveillance (AS), having no contraindications to vigorous exercise as determined by the study physician and primary care doctor, having a normal resting and exercise electrocardiogram (ECG), being able to complete a cardiopulmonary exercise test, and having low-to-moderate fitness based on age-specific peak oxygen uptake (VO2peak) cut points. Participants were randomized into either the exercise intervention arm or standard of care control arm in a 1:1 ratio.']",
41545337,['18-70 years'],['female and male'],['resectable non-small cell lung cancer (NSCLC)'],90 patients,"['18-70 years, histopathology or cytologically confirmed treatment-naïve resectable stage IIB–IIIB (N2) NSCLC, ECOG performance status 0–1, life expectancy ≥12 weeks, measurable target lesion per RECIST 1.1, adequate bone marrow and organ function', '90 patients (30 per group)']",
41543884,['63 years (SD 9.6)'],['female'],"['cancer', 'solid tumors']",200 patients,['undergoing active treatment'],
41542812,['25-49 years'],['female'],,"['10,027 participants']","['10 027 adults (aged 18+), nationally representative for age, sex, and education of eight EU member states.', '10,027']",
41538790,['≥20 years'],['female'],['cancer survivors'],32 patients,"['The eligibility criteria for the population under study are cancer survivors, as defined by the National Cancer Institute (NCI), who participated in the HealthScore program. These individuals were considered cancer survivors from the time of diagnosis through the balance of life. Data collection occurred between May 2020 and March 2022.', '32 participants', '11']",
41538533,['32-75 years'],['female'],,['101 patients'],"['101 breast cancer patients scheduled for surgery after NAC at the General Surgery Clinic of Istanbul Kartal Dr. Lütfi Kırdar City Hospital were included in this study.', 'Female patients aged 18 years and over']",
41533999,['adult females'],['female'],"['newly diagnosed', 'advanced stage IIIb-IV ovarian cancer', 'HRP status', 'cTMB-H profile']",91 patients,"['The eligibility criteria for this study included patients with frontline stage IIIb-IV ovarian cancer who achieved clinical complete response after debulking surgery and adjuvant or neoadjuvant chemotherapy. The trial was multicenter, double-blind, randomized, and stratified by surgical cytoreduction extent and chemotherapy timing (neoadjuvant vs. adjuvant). A total of 91 patients were enrolled, with 47 receiving gemogenovatucel-T and 44 receiving placebo.']",
41526345,['56.0 years'],['male'],"['chemotherapy-refractory, HER2+, RAS wild-type unresectable or metastatic colorectal cancer']",56 patients,"['≥18 years of age, HER2+, RAS wild-type, unresectable or metastatic CRC previously treated with fluoropyrimidines, oxaliplatin, irinotecan, an antivascular endothelial growth factor (VEGF) monoclonal antibody, and an anti-programmed death ligand 1 (PD-L1) or anti-PD-1 monoclonal antibody if the tumor had mismatch repair deficient proteins or had high microsatellite instability.']",
41525075,['18-80 years'],['female'],['unilateral breast cancer'], 450 patients,"[['genetic counseling', 'surgery'], ['no prior or metastatic breast cancer', 'no prior multigene panel testing']]",
41517658,['18-75 years'],,['head and neck cancer'],115968 patients,"['34 patients (17 in intervention group and 17 in control group)', '18-75 years old, newly diagnosed with HNC, no prior chemotherapy or radiotherapy, planned for surgical treatment as first-line therapy, agreed to receive standard enteral (EN) or IN support before surgery, normal hematopoietic function, hepatic and renal function.', 'excluded']",
41513590,['20-65 years'],,['metastatic castration-resistant prostate cancer (mCRPC)'],['1200 patients'],['755'],
41506765,['50-74 years'],['female ane male'],,11205 patients,"['50-74 years old', '10,244']",
41505735,['34.2 ±3.8 years'],['female'],['breast cancer'],3 patients,"['18-50 years', 'The eligible population for this study consists of nulliparous women with Younger-onset Breast Cancer Syndrome (YBCS) aged between 18 to 40 years, excluding those who have undergone hysterectomy and/or bilateral oophorectomy. The sample size is n = 3 after exclusions.']",
41488757,['18-65 years'],['female'],['colorectal cancer'],['176 patients'],"['18-65 years, BMI 18.5–30 kg/m2, ASA grade I–III, elective laparoscopic colorectal cancer resection under general anesthesia, informed consent, no severe liver or kidney dysfunction, moderate to severe anemia (Hb ≥ 90g/L), preoperative severe respiratory dysfunction (PaO2 ≥ 60mmHg), FEV1/FVC ≥ 50%, no known allergy to study drugs or contraindications, no severe mental disorders or hearing impairment hindering communication, no conversion to open surgery or significant hemorrhage (≥800mL or 20% of total blood volume rapidly), successful follow-up', 'n=46']",
41488756,['aged 65-80 years'],['female'],['colorectal cancer'],92 patients,"['Patients aged 65–80 years, with an American Society of Anesthesiologists (ASA) physical status classification of I–III, with a body mass index of 18–28 kg/m2, and who were scheduled for elective laparoscopic colorectal cancer surgery expected to last at least ≥1 h were included in the study.']",
41482380,,['female'],['colorectal cancer'],30 patients,[['systolic/diastolic blood pressure ?140/90 mmHg']],
41478730,['≥20 years'],['female'],['advanced cancer'],114 patients,"['The eligibility of the population under study includes patients with advanced cancer and their primary family caregivers. They were recruited through convenience sampling from the oncology wards of a medical center in northern Taiwan between September 2024 and January 2025.', 'Eligible participants: dyads of patients with physician‐confirmed stage III or IV cancer and their primary family caregivers. Inclusion criteria: aged ≥ 20 years, full consciousness, ability to communicate in Chinese or Taiwanese, no psychiatric history. Caregivers must have a biological or marital relationship providing daily care and emotional support. Exclusions: cognitive or language impairments, inability to follow study procedures, involvement in medical disputes, sharing hospital room with another enrolled participant, not directly involved in caregiving, significant uncorrected sensory deficits, lack of access/ability to use smartphone and LINE messaging app.', 'The eligibility criteria for the population under study include age, gender, educational level (secondary or below vs. college or above), religious belief (no vs. yes), marital status (spouse vs. non‐spouse), perceived family communication, support, and economic status (all rated good or poor). Psychological stress was assessed using the Brief Symptom Rating Scale (BSRS‐5).\n\nAnswer: age, gender, educational level, religious belief, marital status, perceived family communication, support, economic status, psychological stress', '114', 'The eligibility of the population under study includes 114 participants, comprising 57 patients and 57 family caregivers.']",
41475829,['18 years or older'],['female'],['living with HIV'],45 patients,"['WLHIV: HIV-positive, due for cervical screening; CMs: 18 years or older, leadership role in Cape Coast area; HCPs: recommended by hospital management based on roles and relevance.', '45 participants, HCPs (n=15) and WLHIV (n=30), evaluated the EBCI.']",
41474977,['≥18 years'],['female'],['cancer'],278 patients,"[""The eligibility criteria for the population under study include: age >18 years, proficiency in speaking and reading Danish, and an oncologist's estimate of a survival time exceeding 7 months."", '278 patients']",
41465180,['55-84 years'],['male'],"['Prostate cancer', 'Prior ADT exposure']",92 patients,['92 men with a history of androgen deprivation therapy (ADT) for prostate cancer (currently being treated or treated within the last 10 years) who had recently completed participation in a clinical fall prevention exercise trial'],
41452765,['53 ± 11 years'],['female'],"['breast cancer', 'breast cancer']",173 patients,"['Eligible participants were women diagnosed with anatomic stage I-III breast cancer, receiving chemotherapy, exercising <150 min/wk of moderate- to vigorous-intensity physical activity, eating <7 fruits or vegetables daily, physically able to walk, and able to understand instructions in English.']",
